condition,brain_ID,starter_X,starter_Y
Ta1 Cre-ON,CBLK1870_1C,928.4150000000001,354.5636388468441
Ta1 Cre-ON,CBLK1870_1C,1246.288,379.24223188574734
Ta1 Cre-ON,CBLK1870_1C,1139.54,349.63982821846685
Ta1 Cre-ON,CBLK1870_1C,1057.304,352.94301246808266
Ta1 Cre-ON,CBLK1870_1C,1383.875,360.1205515105481
Ta1 Cre-ON,CBLK1870_1C,735.675,372.00655596649545
Ta1 Cre-ON,CBLK1870_1C,869.1100000000001,437.8278388653715
Ta1 Cre-ON,CBLK1870_1C,692.9750000000001,369.01075518384266
Ta1 Cre-ON,CBLK1870_1C,691.789,398.6371573486357
Ta1 Cre-ON,CBLK1870_1C,1370.532,365.7510185248461
Ta1 Cre-ON,CBLK1870_1C,1246.288,339.74081002046796
Ta1 Cre-ON,CBLK1870_1C,1321.0120000000002,250.05392351462103
Ta1 Cre-ON,CBLK1870_1C,1063.037,403.6721713545205
Ta1 Cre-ON,CBLK1870_1C,1341.176,244.73914317336644
Ta1 Cre-ON,CBLK1870_1C,1396.9219999999998,331.48313507842335
Ta1 Cre-ON,CBLK1870_1C,1410.562,199.18409809308477
Ta1 Cre-ON,CBLK1870_1C,1319.2329999999997,480.7216536952047
Ta1 Cre-ON,CBLK1870_1C,1044.652,383.8375062909492
Ta1 Cre-ON,CBLK1870_1C,1176.309,271.7687851615635
Ta1 Cre-ON,CBLK1870_1C,1299.663,340.37940225779346
Ta1 Cre-ON,CBLK1870_1C,1213.6709999999998,402.3105050268847
Ta1 Cre-ON,CBLK1870_1C,984.162,364.2418435477273
Ta1 Cre-ON,CBLK1870_1C,1057.106,410.8710056551598
Ta1 Cre-ON,CBLK1870_1C,816.329,365.0968427263072
Ta1 Cre-ON,CBLK1870_1C,926.6359999999999,374.1387801386699
Ta1 Cre-ON,CBLK1870_1C,936.718,402.15195772292145
Ta1 Cre-ON,CBLK1870_1C,829.969,314.2490922097831
Ta1 Cre-ON,CBLK1870_1C,763.5479999999999,441.8474352445645
Ta1 Cre-ON,CBLK1870_1C,750.501,364.7742879214873
Ta1 Cre-ON,CBLK1870_1C,848.354,461.98231906681866
Ta1 Cre-ON,CBLK1870_1C,812.771,334.669415446833
Ta1 Cre-ON,CBLK1870_1C,913.589,398.1411785934633
Ta1 Cre-ON,CBLK1870_1C,949.765,364.9807937777402
